period,s_no,asi_circle,monument,domestic_visitors,foreign_visitors,total_visitors
2021-22,74,Vadodara,"Rudabai Step 378847 8090 277021 7890 -26.88 -2.47 Well, Adalaj Total",672891.0,314.0,673205.0
2021-22,75,Bhubaneswar,"Sun Temple,",98754.0,119.0,98873.0
2021-22,76,Bhubaneswar,Ancient Remains,12385.0,52.0,12437.0
2021-22,77,Bhubaneswar,Rajarani Temple,16316.0,32.0,16348.0
2021-22,78,Bhubaneswar,The Hill Containing,824707.0,777.0,825484.0
2021-22,79,Bhubaneswar,"Ruins of Buddhist 41188 399 52329 454 27.05 13.78 Temples and Images, Lalitgiri Total",138503.0,662.0,139165.0
2021-22,80,Aurangabad,Ajanta Caves,411915.0,911.0,412826.0
2021-22,81,Aurangabad,Ellora Caves,397374.0,536.0,397910.0
2021-22,82,Aurangabad,Tomb of Rabia,204834.0,264.0,205098.0
2021-22,83,Aurangabad,Daulatabad Fort,72661.0,221.0,72882.0
2021-22,84,Aurangabad,"Pandulena Caves,",1293929.0,2673.0,1296602.0
2021-22,85,Aurangabad,Aurangabad Caves 132518 1495 126327 1609 -4.67 7.63 Total,219837.0,1321.0,221158.0
2021-22,86,Mumbai,Elephanta Caves,87182.0,576.0,87758.0
2021-22,87,Mumbai,"Buddhist Caves,",516448.0,478.0,516926.0
2021-22,88,Mumbai,Shaniwarw ada,41150.0,197.0,41347.0
2021-22,89,Mumbai,Aga Khan Palace,173143.0,20.0,173163.0
2021-22,90,Mumbai,"Cave, Temple and",156834.0,150.0,156984.0
2021-22,91,Mumbai,"Caves, Temples and",35790.0,81.0,35871.0
2021-22,92,Mumbai,"Cave, Temple &",172058.0,12.0,172070.0
2021-22,93,Mumbai,Raigad Fort,33073.0,19.0,33092.0
2021-22,94,Mumbai,"Kolaba Fort,",5755.0,5.0,5760.0
2021-22,95,Mumbai,"Old Fort, Sholapur",187947.0,68.0,188015.0
2021-22,96,Mumbai,"Janjira Fort, Murd",9373.0,76.0,9449.0
2021-22,97,Mumbai,Kondiote Caves,1724562.0,3062.0,1727624.0
2021-22,98,Mumbai,Lohgad Fort 136790 207 138327 323 1.12 56.04 Total,9219.0,5.0,9224.0
2021-22,99,Nagpur,Gawilgarh Fort,11125.0,13.0,11138.0
2021-22,100,Nagpur,"Ancient Buddhist 3901 128 3552 92 -8.95 -28.13 Remains, comprising monstery stupa rock sculptures inscriptions etc mansar Total",14651.0,49.0,14700.0
2021-22,101,Chandigarh,Suraj Kund,67602.0,196.0,67798.0
2021-22,102,Chandigarh,Sheikj Chillis Tomb 74729 346 81589 217 9.18 -37.28 Total,3448.0,30.0,3478.0
2021-22,103,Delhi,Khan-I-Khana,299.0,5.0,304.0
2021-22,104,Delhi,Sultan Garhi Tomb,20925.0,132.0,21057.0
2021-22,105,Delhi,Tughlaqabad Fort,1323501.0,5579.0,1329080.0
2021-22,106,Delhi,Red Fort,392378.0,4892.0,397270.0
2021-22,107,Delhi,Humayuns Tomb,1157664.0,8456.0,1166120.0
2021-22,108,Delhi,Qutub Minar,45503.0,152.0,45655.0
2021-22,109,Delhi,Hauzkhas,125545.0,521.0,126066.0
2021-22,110,Delhi,Jantar Mantar,74898.0,627.0,75525.0
2021-22,111,Delhi,Safdarjung Tomb,54145.0,106.0,54251.0
2021-22,112,Delhi,Kotla Firoz Shah,3664640.0,21348.0,3685988.0
2021-22,113,Delhi,Purana Qila 261483 1727 192216 1600 -26.49 -7.35 Total,34640.0,29.0,34669.0
2021-22,114,Guwahati,Ahom Raja’s,46408.0,22.0,46430.0
2021-22,115,Guwahati,Kareghar of Ahom,39211.0,22.0,39233.0
2021-22,116,Guwahati,Ranghar Pavillion,2606.0,2.0,2608.0
2021-22,117,Guwahati,Bishnudol Temple,157674.0,127.0,157801.0
2021-22,118,Guwahati,"Group of Four 47987 86 76896 102 60.24 18.60 Maidams Charaideo, Sibsagar Total",65676.0,1057.0,66733.0
2021-22,119,Goa,Upper Fort Aguada,440549.0,648.0,441197.0
2021-22,120,Hyderabad,Charminar,946972.0,1511.0,948483.0
2021-22,121,Hyderabad,Golkonda Fort,1473467.0,2265.0,1475732.0
2021-22,122,Hyderabad,Warangal Fort 108267 242 106447 280 -1.68 15.70 Total,147549.0,152.0,147701.0
2021-22,123,Jaipur,"Ancient Site,",57881.0,817.0,58698.0
2021-22,124,Jaipur,Baori at Abhaneri,238434.0,996.0,239430.0
2021-22,125,Jaipur,Deeg Bhawan 39755 245 37987 366 -4.45 49.39 Total,590389.0,288.0,590677.0
2021-22,126,Jodhpur,Chittaurgarh Fort,324707.0,257.0,324964.0
2021-22,127,Jodhpur,Kumbhalgarh Fort,1372020.0,568.0,1372588.0
2021-22,128,Jodhpur,Marble Pavillion 547782 150 370056 152 -32.44 1.33 and balustrade on the Ana Sagar Bund and ruins of the marble hammam behind the Ana Sagar Bund Total,52402.0,176.0,52578.0
2021-22,129,Leh,Ancient Palace Leh,81013.0,11.0,81024.0
2021-22,130,Patna,Remains of,46095.0,28.0,46123.0
2021-22,131,Patna,Ancient site of,179597.0,281.0,179878.0
2021-22,132,Patna,"Excavated Site,",33322.0,0.0,33322.0
2021-22,133,Patna,Ancient Site of,506293.0,337.0,506630.0
2021-22,134,Patna,Sher Shah’s Tomb 302528 154 311750 231 3.05 50.00 Total,53049.0,1.0,53050.0
2021-22,135,Raipur,Temple of Laxman,81894.0,351.0,82245.0
2021-22,136,Shimla,Ruined fort Kangra,122665.0,623.0,123288.0
2021-22,137,Shimla,"Rock-cut Temples 52434 2603 41624 1341 -20.62 -48.48 and Sculptures, Masrur Total",5595.0,0.0,5595.0
2021-22,138,Srinagar,Palace complex at,24957.0,6.0,24963.0
2021-22,139,Srinagar,Avantiswamin,37935.0,14.0,37949.0
2021-22,140,Srinagar,"Group of Temples, 16807 12 13842 15 -17.64 25.00 Kiramchi, District Udhampur Total",3741.0,17.0,3758.0
2021-22,141,Amaravati,Amaravati,77133.0,40.0,77173.0
2021-22,142,Amaravati,Undavalli Caves,2611.0,0.0,2611.0
2021-22,143,Amaravati,Nagarjuna Konda,80189.0,33.0,80222.0
2021-22,144,Amaravati,Chandragiri,177808.0,112.0,177920.0
2021-22,145,Amaravati,"Buddhist Remains, 16626 35 13754 47 -17.27 34.29 on hill top at Guntupalli W.G. District Total",,,
2022-23,1,Agra,Taj Mahal,5052712.0,396900.0,5449612.0
2022-23,2,Agra,Agra Fort,1722213.0,139400.0,1861613.0
2022-23,3,Agra,Fatehpur Sikri,443689.0,62238.0,505927.0
2022-23,4,Agra,Akbar Tomb Sikandra,267509.0,9175.0,276684.0
2022-23,5,Agra,"Mariam Tomb,",39335.0,338.0,39673.0
2022-23,6,Agra,Itimad-ud,152495.0,44390.0,196885.0
2022-23,7,Agra,Ram Bagh,67489.0,1841.0,69330.0
2022-23,8,Agra,Mehtab Bagh,111302.0,17079.0,128381.0
2022-23,9,Agra,Mausoleum 709754 4142 578712 8218 -18.46 98.41 Total,8622758.0,672243.0,9295001.0
2022-23,10,Lucknow,Site of Sahet,93790.0,43360.0,137150.0
2022-23,11,Lucknow,Residency,152480.0,1789.0,154269.0
2022-23,12,Lucknow,Piprahwa & 46824 18061 38375 19317 -18.04 6.95 Ganwaria Total,284087.0,50769.0,334856.0
2022-23,13,Jhansi,Gupta & Varah,934.0,13.0,947.0
2022-23,14,Jhansi,Kalinjar Fort,95957.0,162.0,96119.0
2022-23,15,Jhansi,Rani Lakshmi Bai,15470.0,27.0,15497.0
2022-23,16,Jhansi,Rani Jhansi Fort 470724 611 521136 625 10.71 2.29 Total,522183.0,494.0,522677.0
2022-23,17,Sarnath,Lord Cornwallis,9148.0,90.0,9238.0
2022-23,18,Sarnath,Old Fort (Shahi,167409.0,343.0,167752.0
2022-23,19,Sarnath,Observatory of,61542.0,511.0,62053.0
2022-23,20,Sarnath,Excavated Remains,755062.0,54743.0,809805.0
2022-23,21,Sarnath,Tomb of Lal Khan,4804.0,32.0,4836.0
2022-23,22,Sarnath,Ancient Buddhist 47495 5816 36423 5351 -23.31 -8.00 Site know as Chaukhan di Stupa Total,1051713.0,62108.0,1113821.0
2022-23,23,Thrissur,"Bekal Fort,",384008.0,498.0,384506.0
2022-23,24,Thrissur,,,,
2022-23,25,Thrissur,Fort Palakkad,258812.0,252.0,259064.0
2022-23,26,Thrissur,"Fort St. Angelo, 240382 818 242895 1074 1.05 31.30 Kannur Total",1194988.0,33540.0,1228528.0
2022-23,27,Chennai,Group of,1507208.0,28033.0,1535241.0
2022-23,28,Chennai,Gingee Fort,179289.0,1896.0,181185.0
2022-23,29,Chennai,Tiger headed Rock,62765.0,1014.0,63779.0
2022-23,30,Chennai,"Fort, St. George 24254 5474 24664 7313 1.69 33.60 Total",1749262.0,30943.0,1780205.0
2022-23,31,Thiruchirapalli,"Fort on Rock,",36071.0,57.0,36128.0
2022-23,32,Thiruchirapalli,Moovarkoil,1874.0,4.0,1878.0
2022-23,33,Thiruchirapalli,Rock Cut Jain,56425.0,116.0,56541.0
2022-23,34,Thiruchirapalli,Tirumalai Nayak's,856.0,0.0,856.0
2022-23,35,Thiruchirapalli,Natural Caven with,19705.0,51.0,19756.0
2022-23,36,Thiruchirapalli,Fort Museum,93833.0,713.0,94546.0
2022-23,37,Thiruchirapalli,Fort Vattakottai 114090 242 99669 366 -12.64 51.24 Total,315602.0,1099.0,316701.0
2022-23,38,Bhopal,Buddhist Caves,29056.0,6.0,29062.0
2022-23,39,Bhopal,The Palace in the,36808.0,165.0,36973.0
2022-23,40,Bhopal,Hoshang Shah’s,93038.0,705.0,93743.0
2022-23,41,Bhopal,Group of,319046.0,1027.0,320073.0
2022-23,42,Bhopal,Roopmati’s,282678.0,763.0,283441.0
2022-23,43,Bhopal,Buddhist,266528.0,3457.0,269985.0
2022-23,44,Bhopal,Gwalior Fort,274674.0,3973.0,278647.0
2022-23,45,Bhopal,Buddhist Cave,31137.0,65.0,31202.0
2022-23,46,Bhopal,Badal Mahal,8637.0,51.0,8688.0
2022-23,47,Bhopal,Caves 1 to,0.0,20.0,20.0
2022-23,48,Bhopal,Bir Singh Palace 43841 763 42443 943 -3.19 23.59 Datia Total,1444498.0,11184.0,1455682.0
2022-23,49,Jabalpur,Ancient site and,17962.0,57.0,18019.0
2022-23,50,Jabalpur,Western Group of,419259.0,15271.0,434530.0
2022-23,51,Jabalpur,"Group of Temple, 50251 145 49323 152 -1.85 4.83 Paramesh var Shiv and Karan Temple, Amarkantak Total",481346.0,15422.0,496768.0
2022-23,52,Dharwad,"Durga Temple,",195325.0,2072.0,197397.0
2022-23,53,Dharwad,Jaina & Vaishnava,427138.0,3271.0,430409.0
2022-23,54,Dharwad,Group of,306808.0,2359.0,309167.0
2022-23,55,Dharwad,"Gol-Gumbaz,",831109.0,755.0,831864.0
2022-23,56,Dharwad,"Ibrahim Rauza,",187111.0,644.0,187755.0
2022-23,57,Dharwad,"Temples & 19913 118 20621 179 3.56 51.69 Sculpture shed, Lakkumdi Total",1962662.0,9205.0,1971867.0
2022-23,58,Hampi,Group of,809741.0,15890.0,825631.0
2022-23,59,Hampi,Bellary Fort 38270 40 37401 53 -2.27 32.50 Total,824143.0,15903.0,840046.0
2022-23,60,Bangalore,Daryia Daulat,436759.0,8614.0,445373.0
2022-23,61,Bangalore,Keshava Temple,143360.0,5681.0,149041.0
2022-23,62,Bangalore,Palace of Tipu,248490.0,7179.0,255669.0
2022-23,63,Bangalore,Fortress and 446569 2568 381095 3078 -14.66 19.86 Temple Chitradurga Fort Total,1236323.0,23283.0,1259606.0
2022-23,64,Raiganj,Cooch Bihar,608776.0,98.0,608874.0
2022-23,65,Raiganj,Hazarduari Palace 983025 1454 906992 1907 -7.73 31.16 Total,1519112.0,1246.0,1520358.0
2022-23,66,Kolkata,Bishnupur Temples,185784.0,321.0,186105.0
2022-23,67,Kolkata,Matcalfe-Hall 22639 210 32280 225 42.59 7.14 Total,203584.0,457.0,204041.0
2022-23,68,Rajkot,"Asokan Rock Edict,",29110.0,177.0,29287.0
2022-23,69,Rajkot,"Buddhisht Caves,",0.0,0.0,0.0
