s_no,asi_circle,monument
135,Raipur,Temple of Laxman
136,Shimla,Ruined fort Kangra
137,Shimla,"Rock-cut Temples 52434 2603 41624 1341 -20.62 -48.48 and Sculptures, Masrur Total"
138,Srinagar,Palace complex at
139,Srinagar,Avantiswamin
140,Srinagar,"Group of Temples, 16807 12 13842 15 -17.64 25.00 Kiramchi, District Udhampur Total"
141,Amaravati,Amaravati
142,Amaravati,Undavalli Caves
143,Amaravati,Nagarjuna Konda
144,Amaravati,Chandragiri
145,Amaravati,"Buddhist Remains, 16626 35 13754 47 -17.27 34.29 on hill top at Guntupalli W.G. District Total"
